cid,pid,lid,cgid,cgname
32,230,20263,3,Women's Apparel
32,230,20263,4,Women's Accessory
32,747,20089,3,Women's Apparel
32,747,20089,2,Men's Apparel
32,4167,20174,18,Jewelry & Watches
32,6342,107002,3,Women's Apparel
32,6342,107002,4,Women's Accessory
32,6342,107002,2,Men's Apparel
32,6342,107002,5,Men's Accessory
32,6759,107002,3,Women's Apparel
32,6759,107002,4,Women's Accessory
32,6759,107002,2,Men's Apparel
32,6759,107002,5,Men's Accessory
32,6760,107009,3,Women's Apparel
32,6784,107019,3,Women's Apparel
32,6784,107019,2,Men's Apparel
32,14006,116137,18,Jewelry & Watches
32,14022,116148,11,Beauty & Spa
32,14592,107019,3,Women's Apparel
32,14592,107019,2,Men's Apparel
32,16492,19974,3,Women's Apparel
45,6439,92468,3,Women's Apparel
45,6439,92468,4,Women's Accessory
51,971,20020,3,Women's Apparel
51,971,20020,4,Women's Accessory
51,10994,20089,3,Women's Apparel
51,10994,20089,2,Men's Apparel
51,10996,20034,3,Women's Apparel
51,10996,20034,4,Women's Accessory
51,10997,114197,3,Women's Apparel
51,10997,114197,4,Women's Accessory
51,10997,114197,2,Men's Apparel
51,10997,114197,5,Men's Accessory
51,24986,20088,3,Women's Apparel
51,24986,20088,4,Women's Accessory
51,24986,20088,2,Men's Apparel
51,24986,20088,5,Men's Accessory
51,24987,20088,3,Women's Apparel
51,24987,20088,4,Women's Accessory
51,24987,20088,2,Men's Apparel
51,24987,20088,5,Men's Accessory
55,216,20089,3,Women's Apparel
55,216,20089,2,Men's Apparel
55,16124,20237,4,Women's Accessory
55,18144,119381,3,Women's Apparel
55,18144,119381,4,Women's Accessory
55,18144,119381,2,Men's Apparel
55,18144,119381,5,Men's Accessory
55,23097,20087,3,Women's Apparel
55,23097,20087,2,Men's Apparel
55,24517,20034,3,Women's Apparel
55,24517,20034,4,Women's Accessory
55,25023,20088,3,Women's Apparel
55,25023,20088,4,Women's Accessory
55,25023,20088,2,Men's Apparel
55,25023,20088,5,Men's Accessory
55,25412,124590,3,Women's Apparel
55,25412,124590,4,Women's Accessory
57,7620,20089,3,Women's Apparel
57,7620,20089,2,Men's Apparel
58,9593,20087,3,Women's Apparel
58,9593,20087,2,Men's Apparel
58,14592,107019,3,Women's Apparel
58,14592,107019,2,Men's Apparel
60,16065,117394,3,Women's Apparel
60,16065,117394,2,Men's Apparel
61,9328,20252,2,Men's Apparel
61,16124,20237,4,Women's Accessory
61,24118,20087,3,Women's Apparel
61,24118,20087,2,Men's Apparel
66,3083,88458,14,Home & Furnishing
66,3084,19965,6,Sport Apparel
66,15205,116960,3,Women's Apparel
66,16736,117769,3,Women's Apparel
70,15359,20224,3,Women's Apparel
70,15359,20224,4,Women's Accessory
70,15359,20224,2,Men's Apparel
70,15359,20224,5,Men's Accessory
70,22973,20099,51,Shoes
70,23132,20099,51,Shoes
70,24724,124104,10,Food & Beverage
76,14886,20229,4,Women's Accessory
78,3923,20168,3,Women's Apparel
78,3923,20168,4,Women's Accessory
78,10561,107007,3,Women's Apparel
78,10578,20074,3,Women's Apparel
78,10578,20074,4,Women's Accessory
78,10587,107036,11,Beauty & Spa
78,10588,107020,3,Women's Apparel
78,10588,107020,2,Men's Apparel
78,10606,20168,3,Women's Apparel
78,10606,20168,4,Women's Accessory
78,13591,107007,3,Women's Apparel
78,14886,20229,4,Women's Accessory
78,24594,20252,2,Men's Apparel
80,16541,117630,4,Women's Accessory
80,16541,117630,5,Men's Accessory
80,23789,123460,3,Women's Apparel
81,25108,124365,14,Home & Furnishing
83,413,20032,3,Women's Apparel
83,14127,107013,3,Women's Apparel
83,15362,117078,8,Electronics
83,15433,107010,3,Women's Apparel
83,15479,20167,18,Jewelry & Watches
83,15524,19993,3,Women's Apparel
83,15613,20032,3,Women's Apparel
83,15823,117324,4,Women's Accessory
91,4633,20224,3,Women's Apparel
91,4633,20224,4,Women's Accessory
91,4633,20224,2,Men's Apparel
91,4633,20224,5,Men's Accessory
91,4716,20185,18,Jewelry & Watches
91,4717,20168,3,Women's Apparel
91,4717,20168,4,Women's Accessory
91,10812,114070,10,Food & Beverage
