cid,pid,lid,bid,brand,mid,mall,st,city,area,sc,ip
32,16492,19974,237,TOD'S,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
32,14592,107019,224,ETRO,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
32,14022,116148,33653,Nars Cosmetics,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
32,14006,116137,19777,John Hardy,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
32,6784,107019,224,ETRO,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
32,6760,107009,9,Dior ,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
32,6759,107002,10,Roberto Cavalli ,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
32,6342,107002,10,Roberto Cavalli ,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
32,4167,20174,25,Hublot,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
32,747,20089,6,GUCCI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
32,230,20263,1,PRADA,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
51,24987,20088,96,GIORGIO ARMANI ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
51,24986,20088,96,GIORGIO ARMANI ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
51,10997,114197,180,VALENTINO,5865,NEIMAN MARCUS Post Oak Shopping Center,2315 Post Oak Boulevard,Houston Tx,GENAREA,TX,1
51,10996,20034,180,VALENTINO,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
51,10994,20089,6,GUCCI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
51,971,20020,178,MaxMara,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
55,25412,124590,438,Saint Laurent,6600,Houston Galleria,5085 Westheimer Rd.,Houston Tx,Houston,TX,1
55,25023,20088,96,GIORGIO ARMANI ,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
55,24517,20034,180,VALENTINO,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
55,23097,20087,11,Versace,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
55,18144,119381,6,GUCCI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
55,16124,20237,30,FENDI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
55,216,20089,6,GUCCI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
58,14592,107019,224,ETRO,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
58,9593,20087,11,Versace,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
60,16065,117394,2257,AG Adriano Goldschmied,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
61,24118,20087,11,Versace,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
61,16124,20237,30,FENDI,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
61,9328,20252,98,LOUIS VUITTON,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
66,16736,117769,1887,Talbots,6421,Town & Country Village,12850 Memorial Dr,Houston Tx,Houston,TX,1
66,15205,116960,33832,Talbot,6421,Town & Country Village,12850 Memorial Dr,Houston Tx,,TX,1
66,3084,19965,261,Puma,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
66,3083,88458,24507,Jo-Ann Fabric and Craft,0,,9960 Old Katy Rd,Houston Tx,Houston,TX,1
66,2733,85617,2183,Bose,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
70,24724,124104,163,NESPRESSO,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
70,23132,20099,31,JIMMY CHOO,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
70,22973,20099,31,JIMMY CHOO,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
70,15359,20224,7,Bottega Veneta,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
78,24594,20252,98,LOUIS VUITTON,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
78,14886,20229,115,COACH,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
78,13591,107007,185,AKRIS,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
78,10606,20168,227,DAVID YURMAN,974,The Galleria ,5085 Westheimer Rd,Houston Tx,Houston,TX,1
78,10588,107020,18,Moncler,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
78,10587,107036,734,Diptyque,6818,River Oaks District,4444 Westheimer Road,Houston Tx,GENAREA,TX,1
