cid,cn,pic,bid,bn,pc,prjs,citys,malls,brands,bcatgs,nr,ar,ip,pr,un,countryid,statecode,otherstate,city,streetname,zipcode
32,MICHILLI INC,32_1658836042_MICHILLIINC.JPG,7,General Contractor,11,[],[],[],[],[],4,4.50,1,1,Maria Franzone,231,NY,,New York,126 5th Avenue,10011
91,"PWI Construction, Inc.",91_1537476653_PWI_Construction.jpg,7,General Contractor,10,[],[],[],[],[],2,5.00,1,1,Dominica Garza,231,NV,,Las Vegas,3903 West Martin Ave.,89118
78,HIRSCH CONSTRUCTION CORP.,78_1428590806_HIRSCH_CONSTRUCTION_CORP..png,7,General Contractor,9,[],[],[],[],[],2,5.00,1,1,ADAM HIRSCH,231,MA,,Danvers,222 Rosewood Drive,01923
83,Dickinson Cameron Construction,83_1410999463_Dickinson_Cameron_Construction.png,7,General Contractor,8,[],[],[],[],[],3,4.33,1,1,Ron Gordines,231,CA,,Carlsbad,6180 Innovation Way,92009
55,Atmosphere Design Group LLC,55_1454360568_Atmosphere_Design_Group_LLC.jpg,1,Architecture &amp; Design,7,[],[],[],[],[],5,4.60,1,1,Louis Loria,231,NY,,Valhalla,465 Columbus Avenue,10595
98,Trinity Heritage Construction,98_1591816720_TrinityHeritageConstruction.jpg,7,General Contractor,6,[],[],[],[],[],1,5.00,1,1,Stan Brasuell,231,TX,,ROCKWALL,1001 NORTH GOLIAD ST,75087
51,MODAR SPA,51_1411928360_MODAR_SPA.png,15,Millwork Production &amp; Installation,6,[],[],[],[],[],1,5.00,1,1,Dante Malagola,106,,Milan,Milano,"Via Paolo Magretti, 30",20037
66,"MC CONSTRUCTION MANAGEMENT, INC.",66_1408570003_MC_CONSTRUCTION.png,7,General Contractor,5,[],[],[],[],[],0,0.00,1,1,Jim McClymonds,231,AZ,,Cave Creek,38012 N. Linda Drive,85331
937,EXA USA CORP,937_1445305067_EXA_USA_CORP.png,7,General Contractor,4,[],[],[],[],[],0,0.00,1,1,Ulderico Micara,231,NY,,New York,960 Madison Avenue,10021
2163,Th3 Standard Inc,2163_1478534642_Th3_Standard_Inc.jpg,8139,"Architectural, Design & Project Management Services",4,[],[],[],[],[],1,5.00,1,1,Francesco Ferretti,231,FL,,Plantation,9713 N. New River Canal Road,33324
70,"Valerio Architects, Inc",70_1662765643_ValerioArchitectsInc.png,1,Architecture &amp; Design,4,[],[],[],[],[],3,5.00,1,1,"Valerio Architects, Inc",231,CA,,Los Angeles,5858 Wilshire Blvd,90036
